k,spread
1,67.416000
2,84.831000
3,222.829000
4,234.705000
5,234.356000
6,260.342000
7,270.086000
8,291.823000
9,301.094000
10,309.539000
11,313.404000
12,316.481000
13,320.965000
14,325.671000
15,329.345000
16,332.863000
17,336.063000
18,336.489000
19,338.236000
20,340.885000
21,342.914000
22,345.565000
23,347.266000
24,349.523000
25,350.733000
26,351.512000
27,351.598000
28,354.491000
29,356.463000
30,360.144000
31,360.551000
32,362.605000
33,362.737000
34,364.117000
35,366.240000
36,366.506000
37,368.502000
38,367.674000
39,369.144000
40,369.173000
41,370.460000
42,370.849000
43,371.781000
44,373.454000
45,372.757000
46,375.186000
47,374.758000
48,375.575000
49,376.164000
50,376.613000
